,Diesase_Name,overview,symptoms_elements,symptoms_paragraph
1405,Tetanus,"Tetanus is a serious disease of the nervous system caused by a toxin-producing bacterium. The disease causes muscle contractions, particularly of your jaw and neck muscles. Tetanus is commonly known as lockjaw.","Painful muscle spasms and stiff, immovable muscles (muscle rigidity) in your jawTension of muscles around your lips, sometimes producing a persistent grinPainful spasms and rigidity in your neck musclesDifficulty swallowingRigid abdominal muscles",The average time from infection to appearance of signs and symptoms (incubation period) is 10 days. The incubation period can range from 3 to 21 days.
1406,Tetralogy of Fallot,"Tetralogy of Fallot is a combination of four congenital heart defects. The four defects are a ventricular septal defect (VSD), pulmonary stenosis, a misplaced aorta and a thickened right ventricular wall (right ventricular hypertrophy). They usually result in a lack of oxygen-rich blood reaching the body.","A bluish coloration of the skin caused by low blood oxygen levels (cyanosis)Shortness of breath and rapid breathing, especially during feeding or exercisePoor weight gainTiring easily during play or exerciseIrritabilityProlonged cryingHeart murmurFaintingAn abnormal, rounded shape of the nail bed in the fingers and toes (clubbing)","Tetralogy of Fallot symptoms vary, depending on the amount of blood flow that's blocked. Signs and symptoms may include:"
1407,Thoracic aortic aneurysm,A thoracic aortic aneurysm is a weakened area in the upper part of the aorta — the major blood vessel that feeds blood to the body. Aneurysms can develop anywhere in the aorta.,"Back pain.Cough.Weak, scratchy voice.Shortness of breath.Tenderness or pain in the chest.","Thoracic aortic aneurysms often grow slowly. There are usually no symptoms, making them difficult to detect. Many start small and stay small. Others grow bigger over time. How quickly a thoracic aortic aneurysm may grow is difficult to predict."
1408,Thoracic outlet syndrome,"The thoracic outlet is the space between your collarbone (clavicle) and your first rib. This narrow passageway is crowded with blood vessels, nerves and muscles.","Neurogenic (neurologic) thoracic outlet syndrome.This most common type of thoracic outlet syndrome is characterized by compression of the brachial plexus. The brachial plexus is a network of nerves that come from your spinal cord and control muscle movements and sensation in your shoulder, arm and hand.Venous thoracic outlet syndrome.This type of thoracic outlet syndrome occurs when one or more of the veins under the collarbone (clavicle) are compressed, resulting in blood clots.Arterial thoracic outlet syndrome.This is the least common type ofTOS. It occurs when one of the arteries under the collarbone is compressed, resulting in bulging of the artery, also known as an aneurysm.",There are three general types of thoracic outlet syndrome:
1409,Throat cancer,"The throat (pharynx) is a muscular tube that runs from the back of your nose down into your neck. It contains three sections: the nasopharynx, oropharynx and laryngopharynx, which is also called the hypopharynx.","A coughChanges in your voice, such as hoarseness or not speaking clearlyDifficulty swallowingEar painA lump or sore that doesn't healA sore throatWeight loss",Signs and symptoms of throat cancer may include:
1410,Buerger disease,"In Buerger disease, the small blood vessels of the feet and hands become blocked with blood clots. Over time, skin tissue is damaged or destroyed. Open, painful sores develop on the toes and fingers. Not using tobacco is the best way to stop the disease from getting worse.","Tingling or numbness in the fingers or toes.Changes in skin color in the hands and feet. The skin may look pale gray, red or blue. Depending on your skin color, these color changes may be harder or easier to see.Fingers and toes that turn white then blue when exposed to cold, known as Raynaud's disease. Depending on your skin color, these color changes may be harder or easier to see.Pain in the feet that occurs with walking. The pain may make it difficult to walk long distances.Painful open sores on fingers and toes. Pain in the fingers and toes may become severe and occur at rest.Inflammation of a vein just below the skin's surface, due to a blood clot in the vein.",Buerger disease symptoms include:
1411,Thrombocytopenia,Thrombocytopenia is a condition in which you have a low blood platelet count. Platelets (thrombocytes) are colorless blood cells that help blood clot. Platelets stop bleeding by clumping and forming plugs in blood vessel injuries.,"Easy or excessive bruising (purpura)Superficial bleeding into the skin that appears as a rash of pinpoint-sized reddish-purple spots (petechiae), usually on the lower legsProlonged bleeding from cutsBleeding from your gums or noseBlood in urine or stoolsUnusually heavy menstrual flowsFatigueEnlarged spleen","Bleeding into the skin looks like tiny reddish-purple spots, also known as petechiae. Petechiae might look like a rash. Here they appear on a leg (A) and on the stomach area (B)."
1412,Thrombocytosis,Platelets are parts of the blood that help form blood clots. Thrombocytosis (throm-boe-sie-TOE-sis) is a disorder in which your body produces too many platelets.,Headache.Confusion or changes in speech.Chest pain.Shortness of breath and nausea.Weakness.Burning pain in the hands or feet.,"People with high platelet levels often don't have signs or symptoms. When symptoms occur, they're often related to blood clots. Examples include:"
1413,Oral thrush,"Oral thrush produces slightly raised, creamy white, sore patches in your mouth or on your tongue.","Creamy white lesions on your tongue, inner cheeks, and sometimes on the roof of your mouth, gums and tonsilsSlightly raised lesions with a cottage cheese-like appearanceRedness, burning or soreness that may be severe enough to cause difficulty eating or swallowingSlight bleeding if the lesions are rubbed or scrapedCracking and redness at the corners of your mouthA cottony feeling in your mouthLoss of tasteRedness, irritation and pain under dentures (denture stomatitis)","Initially, you may not even notice symptoms of oral thrush. Signs and symptoms may include:"
1414,Thumb arthritis,Thumb arthritis occurs when the cartilage in the carpometacarpal (CMC) joint wears away.,"Swelling, stiffness and tenderness at the base of your thumbDecreased strength when pinching or grasping objectsDecreased range of motionEnlarged or bony appearance of the joint at the base of your thumb","Pain is the first and most common symptom of thumb arthritis. Pain can occur at the base of your thumb when you grip, grasp or pinch an object, or use your thumb to apply force."
1415,Thunderclap headaches,"Thunderclap headaches live up to their name, striking suddenly like a clap of thunder. The pain of these severe headaches peaks within 60 seconds.",Strikes suddenly and severelyPeaks within 60 secondsCan be accompanied by nausea or vomiting,Thunderclap headaches are dramatic. Symptoms include pain that:
1416,Thyroid cancer,"Learn more about thyroid cancer from endocrinologist Mabel Ryder, M.D.","A lump (nodule) that can be felt through the skin on your neckA feeling that close-fitting shirt collars are becoming too tightChanges to your voice, including increasing hoarsenessDifficulty swallowingSwollen lymph nodes in your neckPain in your neck and throat","The thyroid gland is located at the base of the neck, just below the Adam's apple."
1417,Hyperthyroidism (overactive thyroid),"Hyperthyroidism happens when the thyroid gland makes too much thyroid hormone. This condition also is called overactive thyroid. Hyperthyroidism speeds up the body's metabolism. That can cause many symptoms, such as weight loss, hand tremors, and rapid or irregular heartbeat.","Losing weight without trying.Fast heartbeat, a condition called tachycardia.Irregular heartbeat, also called arrhythmia.Pounding of the heart, sometimes called heart palpitations.Increased hunger.Nervousness, anxiety and irritability.Tremor, usually a small trembling in the hands and fingers.Sweating.Changes in menstrual cycles.Increased sensitivity to heat.Changes in bowel patterns, especially more-frequent bowel movements.Enlarged thyroid gland, sometimes called a goiter, which may appear as a swelling at the base of the neck.Tiredness.Muscle weakness.Sleep problems.Warm, moist skin.Thinning skin.Fine, brittle hair.","Hyperthyroidism sometimes looks like other health problems. That can make it hard to diagnose. It can cause many symptoms, including:"
1418,Transient ischemic attack (TIA),A transient ischemic attack (TIA) is a temporary period of symptoms similar to those of a stroke. A TIA usually lasts only a few minutes and doesn't cause permanent damage.,"Weakness, numbness or paralysis in the face, arm or leg, typically on one side of the bodySlurred or garbled speech or difficulty understanding othersBlindness in one or both eyes or double visionVertigo or loss of balance or coordination","Transient ischemic attacks usually last a few minutes. Most signs and symptoms disappear within an hour, though rarely symptoms may last up to 24 hours. The signs and symptoms of a TIA resemble those found early in a stroke and may include sudden onset of:"
1419,Trigeminal neuralgia,"Trigeminal neuralgia is a condition that causes painful sensations similar to an electric shock on one side of the face. This chronic pain condition affects the trigeminal nerve, which carries sensation from your face to your brain. If you have trigeminal neuralgia, even mild stimulation of your face — such as from brushing your teeth or putting on makeup — may trigger a jolt of excruciating pain.","Episodes of severe, shooting or jabbing pain that may feel like an electric shockSpontaneous attacks of pain or attacks triggered by things such as touching the face, chewing, speaking or brushing teethAttacks of pain lasting from a few seconds to several minutesPain that occurs with facial spasmsBouts of multiple attacks lasting days, weeks, months or longer — some people have periods when they experience no painPain in areas supplied by the trigeminal nerve, including the cheek, jaw, teeth, gums, lips, or less often the eye and foreheadPain affecting one side of the face at a timePain focused in one spot or spread in a wider patternPain rarely occurring at night while sleepingAttacks that become more frequent and intense over time","Trigeminal neuralgia results in pain occurring in an area of the face supplied by one or more of the three branches of the trigeminal nerve.
"
1420,Jock itch,"Illustration of jock itch on different skin colors. Jock itch is an itchy rash, often on the groin and inner thighs.","A spreading rash that begins in the crease of the groin and moves down the upper thigh and buttocks.A rash whose center tends to clear as the rash spreads.A rash that may be full or partially ring shaped.A rash bordered with small blisters.Itchiness.Scaly skin.A rash that might be red, brown, purple or gray depending on your skin color.",Symptoms of jock itch are:
1421,Athlete's foot,Athlete's foot (tinea pedis) is a fungal skin infection that usually begins between the toes. It commonly occurs in people whose feet have become very sweaty while confined within tight-fitting shoes.,"Scaly, peeling or cracked skin between the toesItchiness, especially right after taking off shoes and socksInflamed skin that might appear reddish, purplish or grayish, depending on your skin colorBurning or stingingBlistersDry, scaly skin on the bottom of the foot that extends up the side","Athlete's foot is a fungal infection that causes scaly rash that may itch, sting or burn."
1422,Tinnitus,"Tinnitus can be caused by a number of things, including broken or damaged hair cells in the part of the ear that receives sound (cochlea); changes in how blood moves through nearby blood vessels (carotid artery); problems with the joint of the jaw bone (temporomandibular joint); and problems with how the brain processes sound.",BuzzingRoaringClickingHissingHumming,"Tinnitus is most often described as a ringing in the ears, even though no external sound is present. However, tinnitus can also cause other types of phantom noises in your ears, including:"
1423,TMJ disorders,"TMJ disorders affect the temporomandibular joint, located on each side of your head in front of your ears. A soft cartilage disk acts as a cushion between the bones of the joint, so the joint can move smoothly.","Pain or tenderness of your jawPain in one or both of the temporomandibular jointsAching pain in and around your earDifficulty chewing or pain while chewingAching facial painLocking of the joint, making it difficult to open or close your mouth",Signs and symptoms of TMJ disorders may include:
1424,TMJ disorders,"TMJ disorders affect the temporomandibular joint, located on each side of your head in front of your ears. A soft cartilage disk acts as a cushion between the bones of the joint, so the joint can move smoothly.","Pain or tenderness of your jawPain in one or both of the temporomandibular jointsAching pain in and around your earDifficulty chewing or pain while chewingAching facial painLocking of the joint, making it difficult to open or close your mouth",Signs and symptoms of TMJ disorders may include:
1425,Nail fungus,"Nail fungus can cause the nail to become thick, ragged and discolored. An infected nail may separate from the nail bed.","ThickenedDiscoloredBrittle, crumbly or raggedMisshapenSeparated from the nail bedSmelly",Symptoms of nail fungus include a nail or nails that are:
1426,Tongue cancer,"Tongue cancer is a type of cancer that starts as a growth of cells on the tongue. The tongue begins in the throat and extends into the mouth. It's made up of muscles and nerves that help with movement and function, such as taste. The tongue aids in speaking, eating and swallowing.","A red or white patch on the tongue or lining of the mouth.A sore throat that doesn't go away.A feeling that something is caught in the throat.Numbness of the mouth or tongue.Difficulty or pain with chewing, swallowing, or moving the jaws or tongue.Swelling of the jaw.A change in voice.",Tongue cancer might not cause symptoms at first. Sometimes it's found by a doctor or dentist who examines the mouth for signs of cancer as part of a checkup.
1427,Tongue-tie (ankyloglossia),"Tongue-tie (ankyloglossia) is a condition in which an unusually short, thick or tight band of tissue (lingual frenulum) tethers the bottom of the tongue's tip to the floor of the mouth. If necessary, tongue-tie can be treated with a surgical cut to release the frenulum (frenotomy). If additional repair is needed or the lingual frenulum is too thick for a frenotomy, a more extensive procedure known as a frenuloplasty might be an option.",Difficulty lifting the tongue to the upper teeth or moving the tongue from side to sideTrouble sticking out the tongue past the lower front teethA tongue that appears notched or heart shaped when stuck out,Signs and symptoms of tongue-tie include:
1428,Tongue-tie (ankyloglossia),"Tongue-tie (ankyloglossia) is a condition in which an unusually short, thick or tight band of tissue (lingual frenulum) tethers the bottom of the tongue's tip to the floor of the mouth. If necessary, tongue-tie can be treated with a surgical cut to release the frenulum (frenotomy). If additional repair is needed or the lingual frenulum is too thick for a frenotomy, a more extensive procedure known as a frenuloplasty might be an option.",Difficulty lifting the tongue to the upper teeth or moving the tongue from side to sideTrouble sticking out the tongue past the lower front teethA tongue that appears notched or heart shaped when stuck out,Signs and symptoms of tongue-tie include:
1429,Tonic-clonic (grand mal) seizure,"A tonic-clonic seizure, previously known as a grand mal seizure, causes a loss of consciousness and violent muscle contractions. It's the type of seizure most people picture when they think about seizures.",Tonic phase.Loss of consciousness occurs. The muscles suddenly contract and cause the person to fall down. This phase tends to last about 10 to 20 seconds.Clonic phase.The muscles go into rhythmic contractions. They alternately flex and relax. Convulsions usually last 1 to 2 minutes or less.,Tonic-clonic seizures have two stages:
1430,Tonic-clonic (grand mal) seizure,"A tonic-clonic seizure, previously known as a grand mal seizure, causes a loss of consciousness and violent muscle contractions. It's the type of seizure most people picture when they think about seizures.",Tonic phase.Loss of consciousness occurs. The muscles suddenly contract and cause the person to fall down. This phase tends to last about 10 to 20 seconds.Clonic phase.The muscles go into rhythmic contractions. They alternately flex and relax. Convulsions usually last 1 to 2 minutes or less.,Tonic-clonic seizures have two stages:
1431,Tonsil cancer,Your tonsils are two oval-shaped pads in the back of your mouth. Your tonsils are part of your body's germ-fighting immune system.,Difficulty swallowingA sensation that something is caught in the back of your throatSwelling and pain in the neckEaracheJaw stiffness,Signs and symptoms of tonsil cancer include:
1432,Cavities/tooth decay,"Cavities are decayed areas of your teeth that develop into tiny openings or holes. The three types of cavities are shown here. Smooth surface cavities occur on the smooth sides of your teeth, while root cavities develop on the surface over the roots. Pit and fissure cavities occur on the chewing surface of your teeth. Not cleaning your teeth well, frequent snacking and sipping sugary drinks are the main culprits behind cavities.","Toothache, spontaneous pain or pain that occurs without any apparent causeTooth sensitivityMild to sharp pain when eating or drinking something sweet, hot or coldVisible holes or pits in your teethBrown, black or white staining on any surface of a toothPain when you bite down","The signs and symptoms of cavities vary, depending on their extent and location. When a cavity is just beginning, you may not have any symptoms at all. As the decay gets larger, it may cause signs and symptoms such as:"
1433,Total anomalous pulmonary venous return (TAPVR),,,
1434,Total anomalous pulmonary venous return (TAPVR),,,
1435,Tourette syndrome,"Tourette (too-RET) syndrome is a disorder that involves repetitive movements or unwanted sounds (tics) that can't be easily controlled. For instance, you might repeatedly blink your eyes, shrug your shoulders or blurt out unusual sounds or offensive words.","Simple tics.These sudden, brief and repetitive tics involve a limited number of muscle groups.Complex tics.These distinct, coordinated patterns of movements involve several muscle groups.","Tics — sudden, brief, intermittent movements or sounds — are the hallmark sign of Tourette syndrome. They can range from mild to severe. Severe symptoms might significantly interfere with communication, daily functioning and quality of life."
1436,TEN,"TEN causes large areas of blistering, peeling skin.","Widespread skin painA spreading rash covering more than 30% of the bodyBlisters and large areas of peeling skinSores, swelling and crusting on the mucous membranes, including the mouth, eyes and vagina",Toxic epidermal necrolysis signs and symptoms include:
1437,Toxic hepatitis,"The liver is your largest internal organ. About the size of a football, it's located mainly in the upper right portion of your abdomen, beneath the diaphragm and above your stomach.",Yellowing of the skin and whites of the eyes (jaundice)ItchingAbdominal pain in the upper right portion of the abdomenFatigueLoss of appetiteNausea and vomitingRashFeverWeight lossDark or tea-colored urine,"Mild forms of toxic hepatitis may not cause any symptoms and may be detected only by blood tests. When signs and symptoms of toxic hepatitis occur, they may include:"
1438,Toxoplasmosis,Toxoplasmosis (tok-so-plaz-MOE-sis) is an infection with a parasite called Toxoplasma gondii. People often get the infection from eating undercooked meat. You can also get it from contact with cat feces. The parasite can pass to a baby during pregnancy.,Fever.Swollen lymph nodes that may last for weeks.Headache.Muscle aches.Skin rash.,"Most people infected with toxoplasmosis do not have any symptoms. They often don't know they're infected. Some people have flu-like symptoms, including:"
1439,Trachoma,"Trachoma (truh-KOH-muh) is a bacterial infection that affects your eyes. It's caused by the bacterium Chlamydia trachomatis. Trachoma is contagious, spreading through contact with the eyes, eyelids, and nose or throat secretions of infected people. It can also be passed on by handling infected items, such as handkerchiefs.",Mild itching and irritation of the eyes and eyelidsEye discharge containing mucus or pusEyelid swellingLight sensitivity (photophobia)Eye painEye rednessVision loss,Signs and symptoms of trachoma usually affect both eyes and may include:
1440,Transient ischemic attack (TIA),A transient ischemic attack (TIA) is a temporary period of symptoms similar to those of a stroke. A TIA usually lasts only a few minutes and doesn't cause permanent damage.,"Weakness, numbness or paralysis in the face, arm or leg, typically on one side of the bodySlurred or garbled speech or difficulty understanding othersBlindness in one or both eyes or double visionVertigo or loss of balance or coordination","Transient ischemic attacks usually last a few minutes. Most signs and symptoms disappear within an hour, though rarely symptoms may last up to 24 hours. The signs and symptoms of a TIA resemble those found early in a stroke and may include sudden onset of:"
1441,Transposition of the great arteries,"In transposition of the great arteries, the main arteries leading away from the heart — the aorta and the pulmonary artery — are switched, also called transposed.","Blue or gray skin. Depending on the baby's skin color, these color changes may be harder or easier to see.Weak pulse.Lack of appetite.Poor weight gain.",Transposition of the great arteries (TGA) may be seen in a baby before birth during a routine pregnancy ultrasound.
1442,Transposition of the great arteries,"In transposition of the great arteries, the main arteries leading away from the heart — the aorta and the pulmonary artery — are switched, also called transposed.","Blue or gray skin. Depending on the baby's skin color, these color changes may be harder or easier to see.Weak pulse.Lack of appetite.Poor weight gain.",Transposition of the great arteries (TGA) may be seen in a baby before birth during a routine pregnancy ultrasound.
1443,Complicated grief,"Losing a loved one is one of the most distressing and, unfortunately, common experiences people face. Most people experiencing normal grief and bereavement have a period of sorrow, numbness, and even guilt and anger. Gradually these feelings ease, and it's possible to accept loss and move forward.","Intense sorrow, pain and rumination over the loss of your loved oneFocus on little else but your loved one's deathExtreme focus on reminders of the loved one or excessive avoidance of remindersIntense and persistent longing or pining for the deceasedProblems accepting the deathNumbness or detachmentBitterness about your lossFeeling that life holds no meaning or purposeLack of trust in othersInability to enjoy life or think back on positive experiences with your loved one","During the first few months after a loss, many signs and symptoms of normal grief are the same as those of complicated grief. However, while normal grief symptoms gradually start to fade over time, those of complicated grief linger or get worse. Complicated grief is like being in an ongoing, heightened state of mourning that keeps you from healing."
1444,Trichotillomania (hair-pulling disorder),"Trichotillomania (trik-o-til-o-MAY-nee-uh), also called hair-pulling disorder, is a mental disorder that involves recurrent, irresistible urges to pull out hair from your scalp, eyebrows or other areas of your body, despite trying to stop.","Repeatedly pulling your hair out, typically from your scalp, eyebrows or eyelashes, but sometimes from other body areas, and sites may vary over timeAn increasing sense of tension before pulling, or when you try to resist pullingA sense of pleasure or relief after the hair is pulledNoticeable hair loss, such as shortened hair or thinned or bald areas on the scalp or other areas of your body, including sparse or missing eyelashes or eyebrowsPreference for specific types of hair, rituals that accompany hair pulling or patterns of hair pullingBiting, chewing or eating pulled-out hairPlaying with pulled-out hair or rubbing it across your lips or faceRepeatedly trying to stop pulling out your hair or trying to do it less often without successSignificant distress or problems at work, school or in social situations related to pulling out your hair",Signs and symptoms of trichotillomania often include:
1445,Tricuspid valve disease,"A typical heart has two upper and two lower chambers. The upper chambers, the right and left atria, receive incoming blood. The lower chambers, the more muscular right and left ventricles, pump blood out of the heart. The heart valves, which keep blood flowing in the right direction, are gates at the chamber openings.",,
1446,Tricuspid valve regurgitation,"In tricuspid valve regurgitation, shown in the heart on the right, the valve between the two right heart chambers (right ventricle and right atrium) doesn't close properly. As a result, blood flows backward into the right atrium. A typical heart is shown on the left.","FatigueIrregular heart rhythms (arrhythmias)Pulsing in the neckShortness of breath with activitySwelling in the belly area (abdomen), legs or neck veins",Tricuspid valve regurgitation often doesn't cause signs or symptoms until the condition is severe. The condition may be discovered when tests are done for other reasons.
1447,Trigeminal neuralgia,"Trigeminal neuralgia is a condition that causes painful sensations similar to an electric shock on one side of the face. This chronic pain condition affects the trigeminal nerve, which carries sensation from your face to your brain. If you have trigeminal neuralgia, even mild stimulation of your face — such as from brushing your teeth or putting on makeup — may trigger a jolt of excruciating pain.","Episodes of severe, shooting or jabbing pain that may feel like an electric shockSpontaneous attacks of pain or attacks triggered by things such as touching the face, chewing, speaking or brushing teethAttacks of pain lasting from a few seconds to several minutesPain that occurs with facial spasmsBouts of multiple attacks lasting days, weeks, months or longer — some people have periods when they experience no painPain in areas supplied by the trigeminal nerve, including the cheek, jaw, teeth, gums, lips, or less often the eye and foreheadPain affecting one side of the face at a timePain focused in one spot or spread in a wider patternPain rarely occurring at night while sleepingAttacks that become more frequent and intense over time","Trigeminal neuralgia results in pain occurring in an area of the face supplied by one or more of the three branches of the trigeminal nerve.
"
1448,Trigger finger,"Trigger finger makes a finger get stuck in a bent position. It may straighten suddenly with a snap. The fingers most often affected are the ring finger and the thumb, but the condition can affect any finger.","Finger stiffness, particularly in the morning.A popping or clicking sensation as the finger moves.Tenderness or a bump in the palm at the base of the affected finger.Finger catching or locking in a bent position, which suddenly pops straight.Finger locked in a bent position.",Symptoms of trigger finger may progress from mild to severe and include:
1449,Down syndrome,"There are 23 pairs of chromosomes, for a total of 46. Half the chromosomes come from the egg (the mother) and half come from the sperm (the father). This XY chromosome pair includes the X chromosome from the egg and the Y chromosome from the sperm. In Down syndrome, there is an additional copy of chromosome 21, resulting in three copies instead of the normal two copies.","Flattened faceSmall headShort neckProtruding tongueUpward slanting eye lids (palpebral fissures)Unusually shaped or small earsPoor muscle toneBroad, short hands with a single crease in the palmRelatively short fingers and small hands and feetExcessive flexibilityTiny white spots on the colored part (iris) of the eye called Brushfield's spotsShort height","Each person with Down syndrome is an individual — intellectual and developmental problems may be mild, moderate or severe. Some people are healthy while others have significant health problems such as serious heart defects."
1450,Dysphagia,The esophagus is a muscular tube that connects your mouth and your stomach. Rings of muscle contract and relax to allow food and liquids to pass through the upper and lower portions.,Pain while swallowingInability to swallowA sensation of food getting stuck in the throat or chest or behind the breastbone (sternum)DroolingHoarsenessFood coming back up (regurgitation)Frequent heartburnFood or stomach acid backing up into the throatWeight lossCoughing or gagging when swallowing,Signs and symptoms associated with dysphagia can include:
1451,Truncus arteriosus,"In truncus arteriosus, one large vessel comes out of the heart, instead of two separate ones. There's also usually a hole in the wall between the lower heart chambers, called the ventricles. The hole is called a ventricular septal defect. In truncus arteriosus, oxygen-rich blood, shown in red, and oxygen-poor blood, shown in blue, mix together. The mixed blood is shown in purple. It doesn't contain enough oxygen for the body's needs.",Blue or gray skin due to low oxygen levels.Excessive sleepiness.Poor feeding.Poor growth.Pounding heartbeat.Fast breathing.Shortness of breath.,Symptoms of truncus arteriosus usually occur in the first few days of life. They include:
1452,Tuberous sclerosis,"Tuberous sclerosis (TOO-bur-us skluh-ROH-sis), also called tuberous sclerosis complex (TSC), is an uncommon genetic disorder that causes tumors to develop in many parts of the body. These tumors are not cancer. Noncancerous tumors, also called benign tumors, are overgrowths of cells and tissue that are not expected. Symptoms vary widely, depending on where the growths develop and how big they get.","Skin changes.Skin changes are most common. These include patches of lighter skin and small areas of thickened, smooth or bumpy skin. On the forehead, skin can have raised, discolored areas. Small soft bumps under or around the nails may occur. Growths on the face that start in childhood and look like acne are common.Seizures.Growths in the brain may be linked with seizures. A seizure is often the first symptom of tuberous sclerosis. In small children, a common type of seizure called infantile spasm involves stiffening of the arms and legs and arching the back and head.Problems in thinking, reasoning and learning.Tuberous sclerosis can result in developmental delays. Sometimes it limits the ability to think, reason and learn. Mental health conditions, such as autism spectrum disorder or attention-deficit/hyperactivity disorder (ADHD), also can occur.Behavior problems.Common behavior problems may include hyperactivity, self-injury or aggression, or issues with social and emotional adjustment.Kidney problems.Growths on the kidneys are common, and more growths may develop with age.Heart issues.Growths in the heart, if present, are usually largest at birth and shrink as a child gets older.Lung problems.Growths that develop in the lungs may cause coughing or trouble breathing, especially with physical activity or exercise. These lung tumors occur more often in females than in males.Eye problems.Growths can appear as white patches on the light-sensitive tissue at the back of the eye called the retina. These growths usually don't interfere with vision.Dental changes.Teeth may have pits in the surface. Small growths may appear on the gums, inside of the cheeks and on the tongue.","Tuberous sclerosis symptoms are caused by noncancerous growths in parts of the body, most commonly in the skin, brain, eyes, kidneys, heart and lungs. But any part of the body can be affected. Symptoms can range from mild to severe, depending on the size or location of the growths."
1453,Salivary gland tumors,"There are three pairs of major salivary glands — parotid, sublingual and submandibular. Each gland has its own tube (duct) leading from the gland to the mouth.",A lump or swelling on or near your jaw or in your neck or mouthNumbness in part of your faceMuscle weakness on one side of your facePersistent pain in the area of a salivary glandDifficulty swallowingTrouble opening your mouth widely,Signs and symptoms of a salivary gland tumor may include:
1454,Type 1 diabetes,"Type 1 diabetes, once known as juvenile diabetes or insulin-dependent diabetes, is a chronic condition. In this condition, the pancreas makes little or no insulin. Insulin is a hormone the body uses to allow sugar (glucose) to enter cells to produce energy.",Feeling more thirsty than usualUrinating a lotBed-wetting in children who have never wet the bed during the nightFeeling very hungryLosing weight without tryingFeeling irritable or having other mood changesFeeling tired and weakHaving blurry vision,Type 1 diabetes symptoms can appear suddenly and may include:
1455,Type 1 diabetes in children,"Type 1 diabetes in children is a condition in which your child's body no longer produces an important hormone (insulin). Your child needs insulin to survive, so the missing insulin needs to be replaced with injections or with an insulin pump. Type 1 diabetes in children used to be known as juvenile diabetes or insulin-dependent diabetes.","Increased thirstFrequent urination, possibly bed-wetting in a toilet-trained childExtreme hungerUnintentional weight lossFatigueIrritability or behavior changesFruity-smelling breath","The signs and symptoms of type 1 diabetes in children usually develop quickly, and may include:"
1456,Type 2 diabetes,"Type 2 diabetes is a condition that happens because of a problem in the way the body regulates and uses sugar as a fuel. That sugar also is called glucose. This long-term condition results in too much sugar circulating in the blood. Eventually, high blood sugar levels can lead to disorders of the circulatory, nervous and immune systems.","Increased thirst.Frequent urination.Increased hunger.Unintended weight loss.Fatigue.Blurred vision.Slow-healing sores.Frequent infections.Numbness or tingling in the hands or feet.Areas of darkened skin, usually in the armpits and neck.","Symptoms of type 2 diabetes often develop slowly. In fact, you can be living with type 2 diabetes for years and not know it. When symptoms are present, they may include:"
1457,Type 2 diabetes in children,"Type 2 diabetes in children is a chronic disease that affects the way your child's body processes sugar (glucose) for fuel. Without treatment, the disorder causes sugar to build up in the bloodstream, which can lead to serious long-term consequences.","Increased thirstFrequent urinationIncreased hungerFatigueBlurry visionDarkened areas of skin, most often around the neck or in the armpits and groinUnintended weight loss, although this is less common in children with type 2 diabetes than in children with type 1 diabetesFrequent infections","Type 2 diabetes in children may develop so gradually that there are no noticeable symptoms. Sometimes, the disorder is diagnosed during a routine check-up."
1458,Canker sore,"Canker sores occur singly or in clusters on the inside surfaces of your cheeks or lips, on or under your tongue, at the base of your gums, or on your soft palate. They usually have a white or yellow center and a red border and can be extremely painful.",Are usually smallAre oval shaped with a red edgeHeal without scarring in one to two weeks,"Most canker sores are round or oval with a white or yellow center and a red border. They form inside your mouth — on or under your tongue, inside your cheeks or lips, at the base of your gums, or on your soft palate. You might notice a tingling or burning sensation a day or two before the sores actually appear."
1459,Peptic ulcer,"A peptic ulcer is a sore on the lining of your stomach, small intestine or esophagus. A peptic ulcer in the stomach is called a gastric ulcer. A duodenal ulcer is a peptic ulcer that develops in the first part of the small intestine (duodenum). An esophageal ulcer occurs in the lower part of your esophagus.","Burning stomach painFeeling of fullness, bloating or belchingIntolerance to fatty foodsHeartburnNausea","The most common peptic ulcer symptom is burning stomach pain. Stomach acid makes the pain worse, as does having an empty stomach. The pain can often be relieved by eating certain foods that buffer stomach acid or by taking an acid-reducing medication, but then it may come back. The pain may be worse between meals and at night."
1460,Ulcerative colitis,"Listen to gastroenterologist William Faubion, M.D., walk through ulcerative colitis basics.","Diarrhea, often with blood or pusRectal bleeding — passing small amount of blood with stoolAbdominal pain and crampingRectal painUrgency to defecateInability to defecate despite urgencyWeight lossFatigueFeverIn children, failure to grow","Ulcerative colitis symptoms can vary, depending on the severity of inflammation and where it occurs. Signs and symptoms may include:"
1461,Ulnar wrist pain,"Ulnar wrist pain is pain on the side of your wrist opposite the thumb. This pain can vary, depending on the cause. It may worsen when you grip something or twist your wrist. Ulnar wrist pain can be hard to diagnose because it can be linked to many different types of injuries.",,
1462,Ulnar wrist pain,"Ulnar wrist pain is pain on the side of your wrist opposite the thumb. This pain can vary, depending on the cause. It may worsen when you grip something or twist your wrist. Ulnar wrist pain can be hard to diagnose because it can be linked to many different types of injuries.",,
